epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,10921.8,0.88249,0.70873,1.08807,0.02173,0.72842,0.54601,0.61796,0.48732,0.80807,0.6274,1.05918,0.01372,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,11111.4,0.87953,0.7097,1.08674,0.02176,0.72588,0.54597,0.6184,0.48734,0.80795,0.62758,1.05917,0.01372,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,11301.6,0.87712,0.70483,1.08728,0.02142,0.72947,0.54449,0.61849,0.48763,0.80793,0.62773,1.05894,0.01368,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,11491.8,0.87991,0.70717,1.08918,0.02145,0.72822,0.54568,0.61878,0.4882,0.80783,0.62768,1.05897,0.01369,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,11682,0.87494,0.70204,1.08692,0.02147,0.73049,0.54506,0.61909,0.48854,0.80764,0.62748,1.05886,0.0137,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,11872.6,0.87529,0.70156,1.08501,0.02157,0.72603,0.54703,0.61964,0.48893,0.80733,0.62703,1.05876,0.01369,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,12061.9,0.86987,0.69723,1.08301,0.02086,0.72631,0.54638,0.62005,0.48921,0.80727,0.62658,1.05873,0.01369,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,12252.1,0.87432,0.70043,1.0847,0.02122,0.72686,0.54692,0.62053,0.4896,0.80703,0.62614,1.05868,0.01368,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,12443,0.87574,0.70129,1.08633,0.02148,0.72829,0.54644,0.62073,0.48998,0.80667,0.6259,1.05847,0.01365,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,12633,0.8744,0.69794,1.08559,0.02122,0.72524,0.54778,0.62074,0.49004,0.80668,0.62563,1.05847,0.01365,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,12821.4,0.86804,0.69138,1.08434,0.02068,0.72966,0.54589,0.6208,0.49041,0.80653,0.62551,1.05832,0.01364,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,13011.5,0.86802,0.69256,1.08424,0.02101,0.7312,0.545,0.62112,0.49062,0.80626,0.62546,1.05815,0.01362,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,13201.1,0.86898,0.69314,1.084,0.02113,0.72926,0.54631,0.62137,0.49083,0.80623,0.62519,1.05819,0.0136,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,13391.5,0.86878,0.69082,1.08274,0.02084,0.72749,0.54774,0.62143,0.49121,0.80613,0.62504,1.05824,0.01359,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,13581,0.86638,0.69166,1.08155,0.02076,0.73082,0.54703,0.62142,0.49127,0.80566,0.62473,1.05798,0.01356,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,13771,0.86795,0.68802,1.08254,0.02082,0.73005,0.54859,0.62201,0.49157,0.80558,0.62443,1.0579,0.01355,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,13959.3,0.86628,0.68791,1.08299,0.0207,0.72973,0.54938,0.62201,0.4917,0.8054,0.6241,1.05775,0.01354,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,14148.8,0.86317,0.68736,1.0823,0.0203,0.73126,0.54918,0.62224,0.49212,0.80524,0.6242,1.05777,0.01353,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,14338.8,0.86126,0.6814,1.08128,0.02029,0.74169,0.54348,0.62255,0.49227,0.80526,0.62413,1.05772,0.01353,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,14528,0.86503,0.68301,1.08256,0.02039,0.73241,0.54929,0.6231,0.49253,0.80521,0.62402,1.05771,0.01354,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,14717,0.8661,0.68685,1.08377,0.02089,0.73653,0.54793,0.62332,0.49287,0.80507,0.62392,1.05769,0.01352,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,14905,0.86273,0.68145,1.08184,0.02049,0.73735,0.5479,0.62385,0.49309,0.80464,0.62344,1.0574,0.01351,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,15093,0.86031,0.67939,1.0792,0.02038,0.73901,0.54627,0.6241,0.49333,0.80449,0.62302,1.05723,0.0135,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,15281.3,0.85739,0.67571,1.07842,0.0202,0.74056,0.54661,0.62415,0.49356,0.8042,0.62264,1.05705,0.01349,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,15468.9,0.86278,0.68244,1.07979,0.02028,0.74651,0.54431,0.62417,0.49365,0.80417,0.62248,1.05692,0.01346,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,15657.7,0.85561,0.6737,1.07749,0.02008,0.7476,0.54375,0.62474,0.49408,0.80431,0.62235,1.05693,0.01346,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,15847.2,0.8555,0.67432,1.07598,0.02021,0.74929,0.54282,0.62517,0.49423,0.8042,0.62214,1.05677,0.01346,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,16035.7,0.85844,0.67631,1.07628,0.02037,0.75004,0.54354,0.62568,0.49475,0.80412,0.62187,1.05666,0.01345,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,16224.3,0.85391,0.66896,1.07591,0.01989,0.74838,0.54551,0.62602,0.49499,0.80422,0.62078,1.05657,0.01343,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
