epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,15559.4,0.74102,0.57199,1.00779,0.01506,0.76588,0.6233,0.69157,0.579,0.65744,0.48552,0.97245,0.00816,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,15944.6,0.73761,0.56677,1.00785,0.01481,0.76343,0.62312,0.69379,0.58063,0.65738,0.48548,0.97246,0.0081,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,16347.3,0.73735,0.56674,1.00868,0.01468,0.75889,0.63004,0.69438,0.58151,0.65719,0.48551,0.97262,0.0081,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,16758.6,0.7335,0.56283,1.005,0.01457,0.75731,0.63128,0.69524,0.58366,0.65663,0.4828,0.9723,0.00808,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,17149.2,0.73605,0.56399,1.00514,0.01454,0.74684,0.63641,0.69516,0.58352,0.65625,0.48154,0.97218,0.00805,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,17537.7,0.7308,0.56161,1.00713,0.01465,0.75575,0.62672,0.69406,0.58226,0.65612,0.47991,0.97208,0.00806,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,17918.9,0.7365,0.56382,1.00928,0.01457,0.75976,0.6313,0.69666,0.58419,0.65576,0.47823,0.97211,0.00804,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,18323.6,0.73188,0.55993,1.00625,0.01436,0.75842,0.63359,0.69789,0.58589,0.65573,0.47802,0.97206,0.00804,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,18726,0.73187,0.56394,1.00804,0.01424,0.75791,0.63499,0.69867,0.58656,0.65542,0.4775,0.97196,0.00802,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,19130.2,0.73008,0.55849,1.00701,0.01434,0.75415,0.6359,0.69897,0.58677,0.65526,0.47737,0.97203,0.008,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,19522,0.73103,0.56058,1.00606,0.01416,0.75755,0.63679,0.69947,0.58716,0.65542,0.47796,0.9721,0.00799,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
